dateTime,hitName,rotation,distance,frame,%replayed,toUse
22-07-11_23-57-05,builds (1),59,33,3688,2,0
22-07-11_23-57-05,builds (1),64,40,3693,2,0
22-07-11_23-57-05,builds (1),66,43,3698,2,0
22-07-11_23-57-06,builds (1),65,42,3703,2,0
22-07-11_23-57-07,builds (1),2,29,3814,2,0
22-07-11_23-57-07,builds (1),62,38,3819,2,0
22-07-11_23-57-08,builds (1),62,39,3824,2,0
22-07-11_23-57-08,builds (1),62,38,3833,2,0
22-07-11_23-57-08,builds (1),48,26,3838,2,0
22-07-11_23-57-09,builds (1),48,26,3843,2,0
22-07-11_23-57-09,builds (1),48,26,3848,2,0
22-07-11_23-57-09,builds (1),49,26,3853,2,0
22-07-11_23-57-13,face_627,179,24,4165,2,0
22-07-11_23-57-13,face_627,154,6,4170,2,0
22-07-11_23-57-14,face_627,7,44,4175,2,0
22-07-11_23-57-14,face_627,7,43,4180,2,0
22-07-11_23-57-14,face_627,33,6,4185,2,0
22-07-11_23-57-15,face_627,152,5,4190,2,0
22-07-11_23-57-15,face_627,153,5,4195,2,0
22-07-11_23-57-15,face_625,32,6,4222,2,0
22-07-11_23-57-16,face_625,9,31,4227,2,0
22-07-11_23-57-16,face_625,9,30,4232,2,0
22-07-11_23-57-16,face_625,170,14,4237,2,0
22-07-11_23-57-16,face_625,9,32,4242,2,0
22-07-11_23-57-17,face_625,32,5,4247,2,0
22-07-11_23-57-17,face_625,32,5,4252,2,0
22-07-11_23-57-17,face_625,32,5,4257,2,0
22-07-11_23-57-18,face_625,32,5,4262,2,1
22-07-11_23-57-21,face_58,30,7,4506,2,0
22-07-11_23-57-21,face_58,180,80,4511,2,0
22-07-11_23-57-21,face_58,179,80,4516,2,0
22-07-11_23-57-21,face_58,179,80,4521,2,0
22-07-11_23-57-22,house8,179,61,4530,2,0
22-07-11_23-57-22,house8,178,79,4535,2,0
22-07-11_23-57-23,metalBench (8),71,30,4611,2,0
22-07-11_23-57-23,metalBench (8),159,19,4616,2,0
22-07-11_23-57-24,metalBench (8),159,19,4621,2,0
22-07-11_23-57-24,metalBench (8),159,19,4626,2,0
22-07-11_23-57-24,metalBench (8),159,19,4631,2,0
22-07-11_23-57-25,metalBench (8),158,19,4636,2,0
22-07-11_23-57-26,house8,179,58,4745,2,0
22-07-11_23-57-26,house8,177,76,4750,2,0
22-07-11_23-57-27,house8,177,76,4755,2,0
22-07-11_23-57-27,house8,177,76,4760,2,0
22-07-11_23-57-27,house8,177,76,4765,2,0
22-07-11_23-57-27,house8,176,76,4770,2,0
22-07-11_23-57-30,streetLight1Prefab (82),174,38,4957,3,0
22-07-11_23-57-30,streetLight1Prefab (82),177,72,4962,3,0
22-07-11_23-57-30,streetLight1Prefab (82),177,72,4967,3,0
22-07-11_23-57-31,streetLight1Prefab (82),177,71,4972,3,0
22-07-11_23-57-32,house8,179,100,5050,3,0
22-07-11_23-57-32,house8,172,72,5055,3,0
22-07-11_23-57-32,house8,172,72,5060,3,0
22-07-11_23-57-32,house8,171,72,5065,3,0
22-07-11_23-57-33,house8,172,72,5070,3,0
22-07-11_23-57-33,house8,172,71,5081,3,0
22-07-11_23-57-33,house8,178,71,5086,3,0
22-07-11_23-57-34,house8,177,52,5091,3,0
22-07-11_23-57-36,house8,179,50,5242,3,0
22-07-11_23-57-36,house8,169,69,5247,3,0
22-07-11_23-57-36,house8,78,52,5252,3,0
22-07-11_23-57-36,house8,78,51,5257,3,0
22-07-11_23-57-37,house8,169,69,5269,3,0
22-07-11_23-57-37,house8,172,68,5274,3,0
22-07-11_23-57-37,house8,172,68,5279,3,0
22-07-11_23-57-39,house8,14,16,5443,3,0
22-07-11_23-57-40,house8,180,65,5448,3,0
22-07-11_23-57-40,house8,179,65,5453,3,0
22-07-11_23-57-42,house8,134,39,5633,3,0
22-07-11_23-57-42,house8,179,43,5638,3,0
22-07-11_23-57-43,house8,179,43,5643,3,0
22-07-11_23-57-43,house8,179,43,5648,3,0
22-07-11_23-57-43,house8,180,43,5653,3,0
22-07-11_23-57-44,house8,179,43,5658,3,0
22-07-11_23-57-44,house8,180,62,5663,3,0
22-07-11_23-57-44,house8,179,62,5668,3,0
22-07-11_23-57-44,house8,180,61,5673,3,0
22-07-11_23-57-45,house8,180,61,5678,3,0
22-07-11_23-57-45,house8,179,61,5683,3,0
22-07-11_23-57-46,house8,180,61,5688,3,0
22-07-11_23-57-46,house8,179,61,5693,3,0
22-07-11_23-57-52,B013,81,34,6213,3,0
22-07-11_23-57-53,B013,59,73,6218,3,0
22-07-11_23-57-53,B013,60,87,6223,3,0
22-07-11_23-57-53,B013,149,86,6228,3,0
22-07-11_23-57-54,B013,59,87,6233,3,0
22-07-11_23-57-54,B013,58,84,6238,3,0
22-07-11_23-57-54,B013,59,55,6243,3,0
22-07-11_23-57-55,B017 (3),59,63,6259,3,0
22-07-11_23-57-55,B017 (3),44,24,6264,3,0
22-07-11_23-57-56,B017 (3),43,28,6269,3,0
22-07-11_23-57-56,B017 (3),43,24,6274,3,0
22-07-11_23-57-56,B017 (3),43,6,6279,3,0
22-07-11_23-57-57,B017 (3),45,63,6284,3,0
22-07-11_23-57-57,B017 (3),45,63,6289,3,0
22-07-11_23-57-57,B017 (3),46,63,6295,3,0
22-07-11_23-57-58,B017 (3),45,63,6300,3,0
22-07-11_23-57-58,B017 (3),58,50,6305,3,0
22-07-11_23-57-58,B017 (3),46,63,6310,3,0
22-07-11_23-57-59,Cathedral,22,76,6360,3,0
22-07-11_23-58-00,Cathedral,22,76,6365,3,0
22-07-11_23-58-00,Cathedral,22,76,6372,3,0
22-07-11_23-58-00,Cathedral,22,76,6377,3,0
22-07-11_23-58-02,Cathedral,22,74,6473,3,0
22-07-11_23-58-03,Cathedral,22,74,6478,3,0
22-07-11_23-58-03,Cathedral,22,74,6483,3,0
22-07-11_23-58-03,Cathedral,22,74,6488,3,0
22-07-11_23-58-04,Cathedral,22,74,6493,3,0
22-07-11_23-58-04,Cathedral,22,74,6498,4,0
22-07-11_23-58-04,Cathedral,22,74,6503,4,0
22-07-11_23-58-07,B017 (3),9,18,6645,4,0
22-07-11_23-58-07,B017 (3),50,17,6650,4,0
22-07-11_23-58-08,B017 (3),49,63,6655,4,0
22-07-11_23-58-09,builds (3),21,43,6715,4,0
22-07-11_23-58-09,builds (3),90,77,6720,4,0
22-07-11_23-58-10,builds (3),89,77,6725,4,0
22-07-11_23-58-10,builds (3),89,77,6730,4,0
22-07-11_23-58-10,builds (3),89,77,6735,4,0
22-07-11_23-58-10,builds (3),89,77,6740,4,0
22-07-11_23-58-11,builds (3),89,77,6745,4,0
22-07-11_23-58-11,builds (3),90,77,6750,4,0
22-07-11_23-58-12,builds (3),88,77,6756,4,0
22-07-11_23-58-12,builds (3),85,77,6761,4,0
22-07-11_23-58-12,builds (3),85,77,6766,4,0
22-07-11_23-58-13,builds (3),85,77,6771,4,0
22-07-11_23-58-13,builds (3),85,77,6776,4,0
22-07-11_23-58-13,builds (3),85,78,6781,4,0
22-07-11_23-58-14,builds (3),85,78,6786,4,0
22-07-11_23-58-14,builds (3),84,78,6791,4,0
22-07-11_23-58-39,B001,21,44,8253,5,0
22-07-11_23-58-40,B001,35,49,8258,5,0
22-07-11_23-58-40,B001,35,49,8263,5,0
22-07-11_23-58-41,B001,35,49,8268,5,0
22-07-11_23-58-41,B001,36,49,8273,5,0
22-07-11_23-58-41,B001,37,50,8278,5,0
22-07-11_23-58-42,B011 (2),36,49,8307,5,0
22-07-11_23-58-42,B011 (2),6,39,8312,5,0
22-07-11_23-58-43,Chairs (6),5,39,8321,5,0
22-07-11_23-58-43,Chairs (6),6,29,8326,5,0
22-07-11_23-58-44,Chairs (6),5,29,8331,5,0
22-07-11_23-58-44,Chairs (6),5,29,8336,5,0
22-07-11_23-58-44,Chairs (6),7,29,8341,5,0
22-07-11_23-58-45,Chairs (6),8,29,8346,5,0
22-07-11_23-58-45,Chairs (6),8,29,8351,5,0
22-07-11_23-58-45,Chairs (6),98,30,8356,5,0
22-07-11_23-58-45,Chairs (6),7,29,8361,5,0
22-07-11_23-58-46,Chairs (6),8,29,8366,5,0
22-07-11_23-58-46,Chairs (6),8,29,8371,5,0
22-07-11_23-58-46,Chairs (6),7,29,8376,5,0
22-07-11_23-58-47,Chairs (6),8,29,8381,5,0
22-07-11_23-58-47,B22 1 (3),8,28,8389,5,0
22-07-11_23-58-47,B22 1 (3),18,40,8394,5,0
22-07-11_23-58-48,B22 1 (3),18,40,8399,5,0
22-07-11_23-58-48,B22 1 (3),19,40,8404,5,0
22-07-11_23-58-48,B22 1 (3),18,40,8409,5,0
22-07-11_23-58-49,B22 1 (3),21,41,8414,5,0
22-07-11_23-58-49,B22 1 (3),20,40,8419,5,0
22-07-11_23-58-50,B22 1 (3),20,40,8424,5,0
22-07-11_23-58-50,B22 1 (3),21,40,8429,5,0
22-07-11_23-58-50,B22 1 (3),21,40,8434,5,0
22-07-11_23-58-51,B22 1 (3),21,40,8439,5,0
22-07-11_23-58-51,B22 1 (3),21,40,8444,5,0
22-07-11_23-58-51,B22 1 (3),20,40,8449,5,0
22-07-11_23-58-51,B22 1 (3),20,40,8454,5,0
22-07-11_23-58-52,B22 1 (3),20,40,8459,5,0
22-07-11_23-58-52,B22 1 (3),21,40,8464,5,0
22-07-11_23-58-53,B011 (2),11,37,8502,5,1
22-07-11_23-58-53,B011 (2),83,30,8497,5,0
22-07-11_23-58-53,B011 (2),11,37,8507,5,0
22-07-11_23-58-54,B011 (2),11,37,8512,5,0
22-07-11_23-58-54,B011 (2),13,37,8517,5,0
22-07-11_23-58-54,B011 (2),13,37,8522,5,0
22-07-11_23-58-55,B011 (2),13,37,8527,5,0
22-07-11_23-58-55,B014 (2),13,37,8532,5,0
22-07-11_23-58-55,B014 (2),29,40,8537,5,0
22-07-11_23-58-56,B014 (2),30,40,8542,5,0
22-07-11_23-58-56,B014 (2),29,40,8547,5,0
22-07-11_23-58-56,B014 (2),29,40,8552,5,0
22-07-11_23-58-57,B014 (2),30,40,8557,5,0
22-07-11_23-58-57,B014 (2),30,40,8562,5,0
22-07-11_23-58-57,B011 (2),30,40,8572,5,0
22-07-11_23-58-58,B011 (2),16,36,8577,5,0
22-07-11_23-58-58,B011 (2),16,36,8582,5,0
22-07-11_23-58-58,B011 (2),16,36,8587,5,0
22-07-11_23-58-59,B011 (2),17,36,8592,5,0
22-07-11_23-58-59,B011 (2),18,36,8597,5,0
22-07-11_23-58-59,B011 (2),18,36,8602,5,0
22-07-11_23-58-59,B011 (2),19,36,8607,5,0
22-07-11_23-59-00,B011 (2),17,36,8612,5,0
22-07-11_23-59-00,B011 (2),18,36,8617,5,0
22-07-11_23-59-00,B011 (2),18,36,8622,5,0
22-07-11_23-59-01,B011 (2),18,36,8629,5,0
22-07-11_23-59-01,B011 (2),9,34,8634,5,0
22-07-11_23-59-01,B011 (2),9,34,8639,5,0
22-07-11_23-59-02,B011 (2),8,34,8644,5,0
22-07-11_23-59-02,B011 (2),8,34,8649,5,0
22-07-11_23-59-02,B011 (2),9,34,8654,5,0
22-07-11_23-59-08,B001,103,37,9012,5,0
22-07-11_23-59-08,B001,103,37,9017,5,0
22-07-11_23-59-08,B001,41,47,9022,5,0
22-07-11_23-59-09,B001,103,37,9027,5,0
22-07-11_23-59-09,B001,41,46,9032,5,0
22-07-11_23-59-09,B001,40,45,9037,5,0
22-07-11_23-59-10,B001,41,46,9042,5,0
22-07-11_23-59-10,B001,40,45,9047,5,0
22-07-11_23-59-10,B001,40,45,9052,5,0
22-07-11_23-59-11,B001,40,45,9057,5,0
22-07-11_23-59-11,B001,40,44,9085,5,0
22-07-11_23-59-12,B001,39,43,9090,5,0
22-07-11_23-59-12,B001,106,36,9095,5,0
22-07-11_23-59-12,B001,106,36,9100,5,0
22-07-11_23-59-13,B001,41,44,9105,5,0
22-07-11_23-59-13,B001,41,44,9110,5,0
22-07-11_23-59-13,B001,41,44,9115,5,0
22-07-11_23-59-14,B001,41,44,9120,5,0
22-07-11_23-59-14,B001,40,44,9125,5,0
22-07-11_23-59-17,metalBench (5),8,10,9309,5,0
22-07-11_23-59-17,metalBench (5),131,7,9314,5,0
22-07-11_23-59-18,metalBench (5),131,7,9319,5,0
22-07-11_23-59-18,metalBench (5),132,7,9324,5,0
22-07-11_23-59-18,metalBench (5),131,7,9329,5,0
22-07-11_23-59-19,metalBench (5),42,19,9334,5,0
22-07-11_23-59-19,metalBench (5),48,7,9339,5,0
22-07-11_23-59-19,metalBench (5),42,19,9344,5,0
22-07-11_23-59-20,metalBench (5),43,18,9349,5,0
22-07-11_23-59-21,metalBench (5),46,16,9444,5,0
22-07-11_23-59-22,metalBench (5),139,4,9449,5,0
22-07-11_23-59-22,metalBench (5),139,4,9454,5,0
22-07-11_23-59-22,metalBench (5),139,4,9459,5,0
22-07-11_23-59-23,metalBench (5),140,3,9479,5,1
22-07-11_23-59-23,metalBench (5),140,4,9464,5,0
22-07-11_23-59-23,metalBench (5),140,4,9469,5,0
22-07-11_23-59-23,metalBench (5),140,4,9474,5,0
22-07-11_23-59-24,metalBench (4),139,13,9508,5,0
22-07-11_23-59-24,metalBench (4),116,6,9513,5,0
22-07-11_23-59-25,face_4605,116,6,9523,5,0
22-07-11_23-59-26,face_4605,21,28,9551,5,0
22-07-11_23-59-26,face_4605,13,6,9556,5,0
22-07-11_23-59-26,face_4605,12,5,9561,5,0
22-07-11_23-59-27,face_4605,12,5,9566,5,0
22-07-11_23-59-27,face_4605,12,5,9571,5,0
22-07-11_23-59-27,face_4605,12,5,9596,5,0
22-07-11_23-59-28,face_4605,12,5,9601,5,0
22-07-11_23-59-28,face_4605,10,5,9606,5,0
22-07-11_23-59-29,face_4605,10,5,9611,5,0
22-07-11_23-59-29,face_4605,11,4,9616,5,0
22-07-11_23-59-29,face_4605,11,4,9621,5,0
22-07-11_23-59-30,face_4605,10,4,9626,5,0
22-07-11_23-59-30,face_4605,10,4,9631,5,0
22-07-11_23-59-30,face_4605,9,4,9636,5,0
22-07-11_23-59-30,face_4605,9,4,9641,5,0
22-07-11_23-59-31,face_4605,9,4,9656,5,1
22-07-11_23-59-31,face_4605,8,4,9646,5,0
22-07-11_23-59-31,face_4605,8,4,9651,5,0
22-07-11_23-59-32,face_4605,9,4,9661,5,0
22-07-11_23-59-32,face_4605,9,3,9666,5,0
22-07-11_23-59-32,face_4605,9,3,9671,5,0
22-07-11_23-59-33,face_4605,8,3,9676,5,0
22-07-11_23-59-33,face_4605,8,3,9681,5,0
22-07-11_23-59-33,face_4605,9,3,9686,5,0
22-07-11_23-59-34,face_4605,9,3,9691,5,0
22-07-11_23-59-34,face_4605,9,3,9696,5,0
22-07-11_23-59-34,face_4605,8,3,9701,5,0
22-07-11_23-59-35,face_4605,8,3,9713,5,1
22-07-11_23-59-35,face_4605,8,3,9706,5,0
