dateTime,hitName,rotation,distance,frame,%replayed
22-07-11_20-44-45,Chairs (7),148,16,157503,96
22-07-11_20-44-46,Chairs (7),36,12,157508,96
22-07-11_20-44-46,Chairs (7),46,10,157513,96
22-07-11_20-44-46,Chairs (7),45,10,157518,96
22-07-11_20-44-47,Chairs (7),45,10,157523,96
22-07-11_20-44-47,Chairs (7),44,9,157528,96
22-07-11_20-44-48,Chairs (7),44,11,157533,96
22-07-11_20-44-49,B017 (3),61,16,157634,96
22-07-11_20-44-50,B001,63,33,157649,96
22-07-11_20-44-50,B001,69,41,157654,96
22-07-11_20-44-50,B001,69,41,157659,96
22-07-11_20-44-51,B001,69,40,157664,96
22-07-11_20-44-51,B001,69,40,157669,96
22-07-11_20-44-51,B001,69,40,157674,96
22-07-11_20-44-52,B001,69,40,157679,96
22-07-11_20-44-54,streetLight2 (32),83,53,157782,97
22-07-11_20-44-54,streetLight2 (32),90,35,157787,97
22-07-11_20-44-54,streetLight2 (32),90,35,157792,97
22-07-11_20-44-55,streetLight2 (32),90,62,157797,97
22-07-11_20-45-00,trashcan_squarePrefab (2),16,96,158119,97
22-07-11_20-45-00,trashcan_squarePrefab (2),85,34,158124,97
22-07-11_20-45-01,trashcan_squarePrefab (2),85,34,158129,97
22-07-11_20-45-01,trashcan_squarePrefab (2),86,34,158134,97
22-07-11_20-45-01,trashcan_squarePrefab (2),85,34,158139,97
22-07-11_20-45-02,trashcan_squarePrefab (2),85,33,158144,97
22-07-11_20-45-02,trashcan_squarePrefab (2),85,33,158149,97
22-07-11_20-45-03,trashcan_squarePrefab (2),95,28,158154,97
22-07-11_20-45-03,trashcan_squarePrefab (2),95,27,158159,97
22-07-11_20-45-03,trashcan_squarePrefab (2),95,28,158164,97
22-07-11_20-45-04,trashcan_squarePrefab (2),95,28,158169,97
22-07-11_20-45-04,trashcan_squarePrefab (2),95,27,158174,97
22-07-11_20-45-05,trashcan_squarePrefab (2),95,27,158179,97
22-07-11_20-45-07,trashcan_squarePrefab (2),94,35,158328,97
22-07-11_20-45-08,trashcan_squarePrefab (2),86,31,158333,97
22-07-11_20-45-08,trashcan_squarePrefab (2),85,31,158338,97
22-07-11_20-45-08,trashcan_squarePrefab (2),85,31,158343,97
22-07-11_20-45-09,trashcan_squarePrefab (2),85,31,158348,97
22-07-11_20-45-09,trashcan_squarePrefab (2),85,31,158353,97
22-07-11_20-45-09,trashcan_squarePrefab (2),85,31,158358,97
22-07-11_20-45-10,trashcan_squarePrefab (2),85,31,158363,97
22-07-11_20-45-10,trashcan_squarePrefab (2),85,31,158368,97
22-07-11_20-45-10,trashcan_squarePrefab (2),85,31,158373,97
22-07-11_20-45-11,streetLight2 (33),93,33,158392,97
22-07-11_20-45-11,streetLight2 (33),93,4,158397,97
22-07-11_20-45-12,streetLight2 (33),95,28,158442,97
22-07-11_20-45-13,streetLight2 (33),94,3,158447,97
22-07-11_20-45-14,B027,69,17,158501,97
22-07-11_20-45-14,B027,72,45,158506,97
22-07-11_20-45-16,trashcan_squarePrefab (2),57,23,158597,97
22-07-11_20-45-16,trashcan_squarePrefab (2),81,26,158602,97
22-07-11_20-45-16,trashcan_squarePrefab (2),81,26,158607,97
22-07-11_20-45-17,trashcan_squarePrefab (2),81,26,158612,97
22-07-11_20-45-17,trashcan_squarePrefab (2),81,26,158617,97
22-07-11_20-45-23,metalBench (1),131,5,158959,97
22-07-11_20-45-25,metalBench (2),122,40,159148,97
22-07-11_20-45-26,metalBench (2),126,36,159153,97
22-07-11_20-45-26,metalBench (2),127,36,159158,97
22-07-11_20-45-26,metalBench (2),127,35,159163,97
22-07-11_20-45-27,metalBench (2),127,35,159168,97
22-07-11_20-45-32,metalBench,120,6,159563,98
22-07-11_20-45-33,metalBench,119,36,159569,98
22-07-11_20-45-37,metalBench (1),134,13,159908,98
22-07-11_20-45-38,metalBench (1),118,24,159913,98
22-07-11_20-45-38,metalBench (1),118,24,159918,98
22-07-11_20-45-38,metalBench (1),118,24,159923,98
22-07-11_20-45-44,metalBench (1),116,5,160394,98
22-07-11_20-45-45,metalBench (1),107,14,160399,98
22-07-11_20-45-45,metalBench (1),107,13,160404,98
22-07-11_20-45-46,metalBench (1),90,47,160433,98
22-07-11_20-45-46,metalBench (1),106,13,160438,98
22-07-11_20-45-46,metalBench (1),106,12,160443,98
22-07-11_20-45-47,metalBench (1),105,12,160448,98
22-07-11_20-45-47,metalBench (1),105,12,160454,98
22-07-11_20-45-47,metalBench (1),106,12,160459,98
22-07-11_20-45-48,metalBench (1),106,12,160464,98
22-07-11_20-45-49,metalBench (2),108,11,160517,98
22-07-11_20-45-49,metalBench (2),115,6,160522,98
22-07-11_20-45-49,metalBench (1),115,6,160535,98
22-07-11_20-45-50,metalBench (1),105,10,160540,98
22-07-11_20-45-50,metalBench (1),104,10,160547,98
22-07-11_20-45-50,metalBench (1),105,10,160552,98
22-07-11_20-45-51,metalBench (1),105,10,160557,98
22-07-11_20-45-51,metalBench (1),105,10,160562,98
22-07-11_20-45-51,metalBench (1),105,10,160567,98
22-07-11_20-45-52,metalBench (1),105,10,160572,98
22-07-11_20-45-52,face_412,102,17,160611,98
22-07-11_20-45-53,face_412,74,10,160616,98
